item_name,service_line,service_type,service_line_slug,service_type_slug,popularity
#3 AWG Copper THHN Wire (3 phase And ground),Electrical,Appliances,electrical,appliances,1
10000 - 11999 Mini Excavator,Electrical,Appliances,electrical,appliances,1
2032 cell battery,Electrical,Appliances,electrical,appliances,2
60 amp 3 pole breaker,Electrical,Appliances,electrical,appliances,1
60 amp breaker,Electrical,Appliances,electrical,appliances,2
Airlines,Electrical,Appliances,electrical,appliances,1
Bucket Truck,Electrical,Appliances,electrical,appliances,7
CC matching,Electrical,Appliances,electrical,appliances,14
Circuit tracer,Electrical,Appliances,electrical,appliances,9
Cover testing meters and tracers flatrate,Electrical,Appliances,electrical,appliances,1
Gcfi outlets,Electrical,Appliances,electrical,appliances,1
Lacer,Electrical,Appliances,electrical,appliances,1
Lift,Electrical,Appliances,electrical,appliances,34
Megger Test,Electrical,Appliances,electrical,appliances,1
Milliohm Test to test contactors and breakers,Electrical,Appliances,electrical,appliances,1
Mounting kit,Electrical,Appliances,electrical,appliances,3
Multi meter,Electrical,Appliances,electrical,appliances,3
Outlet cover,Electrical,Appliances,electrical,appliances,7
Pro3000 Tone and Probe Kit (mapping out safe location for breaker and outlet),Electrical,Appliances,electrical,appliances,1
Scissor Lift,Electrical,Appliances,electrical,appliances,24
Scissor Lift-Under 30',Electrical,Appliances,electrical,appliances,28
Torque wrench,Electrical,Appliances,electrical,appliances,1
elec test,Electrical,Appliances,electrical,appliances,1
multimeter statistics equipment,Electrical,Appliances,electrical,appliances,1
#4 AWG WIRE 250FT,Electrical,Appliances,electrical,appliances,1
1 box 12 gauge wire nuts,Electrical,Appliances,electrical,appliances,2
1/2 Flex conduit connector,Electrical,Appliances,electrical,appliances,1
1/2 KO Seal,Electrical,Appliances,electrical,appliances,1
1/2 amp cc type fuse,Electrical,Appliances,electrical,appliances,1
1/2 to 3/4 reducing washer,Electrical,Appliances,electrical,appliances,1
100ft Wire and Clips to run in the ceiling from the middle of the store to the back office,Electrical,Appliances,electrical,appliances,1
10gwire 100ft,Electrical,Appliances,electrical,appliances,1
12 GAUGE /2-GAUGE SOLID CU MC,Electrical,Appliances,electrical,appliances,1
120 - 24 vdc transformer,Electrical,Appliances,electrical,appliances,1
120V to 24V Transformer,Electrical,Appliances,electrical,appliances,1
14 gauge wire 2 wire,Electrical,Appliances,electrical,appliances,1
15 amp 125 volt GFCI outlet,Electrical,Appliances,electrical,appliances,2
18/2 Low Voltage Wire,Electrical,Appliances,electrical,appliances,1
1900 blanks covers,Electrical,Appliances,electrical,appliances,1
1900 box with brackets deep,Electrical,Appliances,electrical,appliances,1
2 exhaust fans,Electrical,Appliances,electrical,appliances,1
20 AMP OUTLET,Electrical,Appliances,electrical,appliances,2
20 Amp Breaker,Electrical,Appliances,electrical,appliances,9
20 amp bolt on breakers,Electrical,Appliances,electrical,appliances,1
200A 250V 3 POLE FUSIBLE DISCONNECT (OUTDOOR) :,Electrical,Appliances,electrical,appliances,1
24V DC 96W Dimmable 120V-277V LED Driver,Electrical,Appliances,electrical,appliances,1
24v transformer,Electrical,Appliances,electrical,appliances,1
250 AMP Breaker,Electrical,Appliances,electrical,appliances,1
250 volt commercial outlet,Electrical,Appliances,electrical,appliances,1
2x12 prism ceiling light cover,Electrical,Appliances,electrical,appliances,1
2x4 ready LED troffer,Electrical,Appliances,electrical,appliances,1
3 Prong Twist Lock Marine Grade Cord,Electrical,Appliances,electrical,appliances,1
3/4 Flex 1 hole clamp,Electrical,Appliances,electrical,appliances,1
3/4 threaded plastic bushing,Electrical,Appliances,electrical,appliances,1
30A 600V FUSES,Electrical,Appliances,electrical,appliances,1
32T8 Bulbs,Electrical,Appliances,electrical,appliances,1
4 Prong Twist Lock Marine Grade Cord,Electrical,Appliances,electrical,appliances,1
"4-foot, 2 Bulb LED Retro fit Kit",Electrical,Appliances,electrical,appliances,1
50 ft 12 gage electrical wire,Electrical,Appliances,electrical,appliances,1
6 gauge wire,Electrical,Appliances,electrical,appliances,1
600v 5amp time delay fuse,Electrical,Appliances,electrical,appliances,1
70A 3-Phase Breaker (Commercial Grade),Electrical,Appliances,electrical,appliances,1
80 inches of clipper lacing,Electrical,Appliances,electrical,appliances,1
AAA batteries,Electrical,Appliances,electrical,appliances,2
ABB 600 Volt 60 Amp Non Fuseable Disconnect,Electrical,Appliances,electrical,appliances,1
AC WORKS AC Connectors 1 ft. 12/3 SJTW 15Amp to 20 Amp Adapter Cord,Electrical,Appliances,electrical,appliances,1
AMAX LIGHTING 120-Volt 6.63 in. Electronic Ballast 2-PL 13-Watt Lamps,Electrical,Appliances,electrical,appliances,3
Access panle with lock,Electrical,Appliances,electrical,appliances,1
Adaptable Door Bell,Electrical,Appliances,electrical,appliances,1
Advance XI050C140V054BST1M 50W LED,Electrical,Appliances,electrical,appliances,1
Afci/gfci breaker,Electrical,Appliances,electrical,appliances,1
Agreed Rate,Electrical,Appliances,electrical,appliances,22
"Air Volume 259 CFM @ .125"" Static Pressure, 2.2 Sones, 0.222 HP, Single Phase",Electrical,Appliances,electrical,appliances,1
Airline,Electrical,Appliances,electrical,appliances,1
Anchor bolts,Electrical,Appliances,electrical,appliances,10
Anchor hardware for unistrut,Electrical,Appliances,electrical,appliances,1
Anchors,Electrical,Appliances,electrical,appliances,44
"BRN, ORG , YEL electric phasing tape",Electrical,Appliances,electrical,appliances,1
Back draft Damper,Electrical,Appliances,electrical,appliances,1
Ballast AURA-DR-WG17-2 100-277V,Electrical,Appliances,electrical,appliances,1
Battery,Electrical,Appliances,electrical,appliances,16
Bell,Electrical,Appliances,electrical,appliances,2
Box cover. Wire nuts,Electrical,Appliances,electrical,appliances,1
Bracket,Electrical,Appliances,electrical,appliances,15
Breaker,Electrical,Appliances,electrical,appliances,18
Breaker 20 amp 2pole bolt on,Electrical,Appliances,electrical,appliances,1
Breaker lock bar to replace old one,Electrical,Appliances,electrical,appliances,1
"Breaker, Service Disconnect",Electrical,Appliances,electrical,appliances,1
Bulb 4ft,Electrical,Appliances,electrical,appliances,1
Bulbs,Electrical,Appliances,electrical,appliances,9
Buzzer and Receiver,Electrical,Appliances,electrical,appliances,1
COMMERCIAL Floor and top door stopper,Electrical,Appliances,electrical,appliances,1
CONDUIT CLAMPS,Electrical,Appliances,electrical,appliances,2
Capacitor,Electrical,Appliances,electrical,appliances,5
Caulk,Electrical,Appliances,electrical,appliances,28
Celing fans,Electrical,Appliances,electrical,appliances,1
Charging Mounts,Electrical,Appliances,electrical,appliances,1
Charging Panels,Electrical,Appliances,electrical,appliances,1
Circuit tracer testing,Electrical,Appliances,electrical,appliances,1
Cleaning materials,Electrical,Appliances,electrical,appliances,19
Commercial Bell System,Electrical,Appliances,electrical,appliances,1
Commercial sensor,Electrical,Appliances,electrical,appliances,1
Compressor oil,Electrical,Appliances,electrical,appliances,1
Concrete,Electrical,Appliances,electrical,appliances,25
Condensate Pump,Electrical,Appliances,electrical,appliances,2
Condensation catch,Electrical,Appliances,electrical,appliances,1
Conduit,Electrical,Appliances,electrical,appliances,16
Conduit and Box,Electrical,Appliances,electrical,appliances,2
"Conduit, Junction Boxes, Supports",Electrical,Appliances,electrical,appliances,1
Connectors and mounting hardware,Electrical,Appliances,electrical,appliances,1
Contactors,Electrical,Appliances,electrical,appliances,5
Copper Net,Electrical,Appliances,electrical,appliances,1
Cords/Hardware,Electrical,Appliances,electrical,appliances,1
Coupler,Electrical,Appliances,electrical,appliances,2
Cover,Electrical,Appliances,electrical,appliances,9
Custom Order Hand Dryer,Electrical,Appliances,electrical,appliances,1
DC7000 control board,Electrical,Appliances,electrical,appliances,1
Damp location led driver,Electrical,Appliances,electrical,appliances,1
Data cable,Electrical,Appliances,electrical,appliances,1
Dc power pack converter,Electrical,Appliances,electrical,appliances,1
Deep Clean - Oven (Chemicals and Service),Electrical,Appliances,electrical,appliances,1
Degreaser,Electrical,Appliances,electrical,appliances,8
Difference,Electrical,Appliances,electrical,appliances,9
Dispose,Electrical,Appliances,electrical,appliances,7
Door bell,Electrical,Appliances,electrical,appliances,3
Door bell system,Electrical,Appliances,electrical,appliances,1
Doorbell,Electrical,Appliances,electrical,appliances,2
Drainage pan and tubing,Electrical,Appliances,electrical,appliances,1
EV receptacle,Electrical,Appliances,electrical,appliances,1
Elecrical Connectors & materials,Electrical,Appliances,electrical,appliances,1
Electrical,Electrical,Appliances,electrical,appliances,8
Electrical Connectors,Electrical,Appliances,electrical,appliances,8
Electrical Wire Cap,Electrical,Appliances,electrical,appliances,7
Electrical Wiring,Electrical,Appliances,electrical,appliances,5
Electrical and Misc.,Electrical,Appliances,electrical,appliances,8
Electrical tape,Electrical,Appliances,electrical,appliances,19
Electrical tape and screw,Electrical,Appliances,electrical,appliances,1
Electrical wire,Electrical,Appliances,electrical,appliances,5
Emt conduit,Electrical,Appliances,electrical,appliances,2
Extension wires,Electrical,Appliances,electrical,appliances,2
Fan replacements,Electrical,Appliances,electrical,appliances,1
Fans,Electrical,Appliances,electrical,appliances,10
Fasteners / Staples / Mounting Accessories,Electrical,Appliances,electrical,appliances,1
Filter ac,Electrical,Appliances,electrical,appliances,1
Fittings connectors,Electrical,Appliances,electrical,appliances,1
Fittings for new compressor,Electrical,Appliances,electrical,appliances,1
Flat,Electrical,Appliances,electrical,appliances,42
Flat plate,Electrical,Appliances,electrical,appliances,1
Fuses,Electrical,Appliances,electrical,appliances,3
"GE Miniature Circuit Breaker: THQB, 30 A, 120/240V AC, Three Phase, 10kA at 120/240V AC, Std",Electrical,Appliances,electrical,appliances,1
"GE Molded Case Circuit Breaker: 70 A Amps, 14kA at 277/480V AC",Electrical,Appliances,electrical,appliances,1
GE Q-Line 30 Amp 2 in. Double-Pole Circuit Breaker,Electrical,Appliances,electrical,appliances,2
GFI Cover Plate,Electrical,Appliances,electrical,appliances,1
Gas Connector,Electrical,Appliances,electrical,appliances,1
Grounding pigtails,Electrical,Appliances,electrical,appliances,1
H E L P E R,Electrical,Appliances,electrical,appliances,9
"HUBBELL GFCI Receptacle: Duplex, Black, 5-20R, 20 A, 125V AC",Electrical,Appliances,electrical,appliances,2
Hand dryer,Electrical,Appliances,electrical,appliances,3
Hand dryer thin air,Electrical,Appliances,electrical,appliances,1
Hand dryer wxtreme air with heat and boost,Electrical,Appliances,electrical,appliances,1
Handryer,Electrical,Appliances,electrical,appliances,1
Hardware and Misc.,Electrical,Appliances,electrical,appliances,7
Heat Trace,Electrical,Appliances,electrical,appliances,1
Heavy duty outlet,Electrical,Appliances,electrical,appliances,1
INCURRED,Electrical,Appliances,electrical,appliances,25
Incured time,Electrical,Appliances,electrical,appliances,3
Inducer Motor and Wiring,Electrical,Appliances,electrical,appliances,1
Industrial boxes,Electrical,Appliances,electrical,appliances,1
Installation Hardware,Electrical,Appliances,electrical,appliances,6
J,Electrical,Appliances,electrical,appliances,2
"KIT,THERMOSTAT CONTROL,DRY,82-200F",Electrical,Appliances,electrical,appliances,1
Knockouts,Electrical,Appliances,electrical,appliances,2
L A B O R,Electrical,Appliances,electrical,appliances,11
LED Driver,Electrical,Appliances,electrical,appliances,8
LED transformer driver,Electrical,Appliances,electrical,appliances,1
Led direct driver and bulb,Electrical,Appliances,electrical,appliances,1
"Leviton 15 Amp Self-Test SmartlockPro Combo Duplex Guide Light and Tamper Resistant GFCI Outlet, White",Electrical,Appliances,electrical,appliances,1
"Leviton Decora 20 Amp 125-Volt Combination Duplex Outlet and USB Outlet, White",Electrical,Appliances,electrical,appliances,2
