id,vendor_id,vendor_sku,name,canonical_item_id
vc_011,OFFICE_PLUS,OP-100,Ergonomic Task Chair Black,canonical_001
vc_012,OFFICE_PLUS,OP-200,Cordless Mouse with Scroll Wheel,canonical_002
vc_013,OFFICE_PLUS,OP-300,Multi-Purpose Copy Paper 20lb,canonical_003
vc_014,OFFICE_PLUS,OP-400,Gigabit Network Patch Cable,canonical_004
vc_015,OFFICE_PLUS,OP-500,Adjustable LED Work Light,canonical_005
vc_016,OFFICE_PLUS,OP-600,Locking File Storage Cabinet,canonical_006
vc_017,OFFICE_PLUS,OP-700,Replacement Laser Toner Cartridge,canonical_007
vc_018,OFFICE_PLUS,OP-800,Convertible Sit-Stand Workstation,canonical_008
vc_019,OFFICE_PLUS,OP-900,High Speed USB Memory Drive,canonical_009
vc_020,OFFICE_PLUS,OP-1000,Wide Ruled Writing Notebook,canonical_010
